n_identities,scheme,verify_ms,verify_ms_std,verify_ms_ci95,ppas,ppas_std,ppas_ci95
1000,ZK-SNARK (Groth16),0.8218182116531827,0.015095305999497594,0.01079853139448101,0.980891300762712,0.0021407089527907945,0.0015313709330521243
1000,ZK-STARK,44.760259170847995,0.7420581840778274,0.5308364466121245,0.843263067481556,0.003403278574147294,0.0024345588309582634
1000,Bulletproofs,118.7212685918907,1.9903698429362253,1.4238248125801758,0.5772063116063254,0.005094510000299235,0.0036443929112506706
1000,ZKAuth (Proposed),1.2163155999104809,0.021138673251503558,0.015121695893520436,0.9928673992363202,0.0007587367219283142,0.0005427675538449634
2500,ZK-SNARK (Groth16),0.8195680280221497,0.015873973890552007,0.011355556847804399,0.982271654328074,0.004026478298540425,0.002880369057601905
2500,ZK-STARK,53.54599225154355,0.9643035812444556,0.6898212262954653,0.8129692176797338,0.003878734487559129,0.0027746795021020097
2500,Bulletproofs,130.10553521866743,2.1894647186469727,1.56624870686323,0.5704606291131902,0.0040449180470606885,0.0028935600590502372
2500,ZKAuth (Proposed),1.2057109280447518,0.016485154498395823,0.011792769116420819,0.9930121180037809,0.0009225820328168552,0.0006599754284999917
5000,ZK-SNARK (Groth16),0.8230632560874687,0.01722615330397358,0.012322847729306882,0.9783584662945802,0.0018269099747624201,0.0013068926670329899
5000,ZK-STARK,60.08028815482966,0.6527127267398732,0.4669225566883116,0.7925381156716446,0.0019173164956967836,0.0013715655961281683
5000,Bulletproofs,140.5461275449949,3.076419347037533,2.200737825565062,0.571516356107181,0.004161533214832366,0.0029769815246566346
5000,ZKAuth (Proposed),1.2023905733204423,0.025521556778582276,0.01825702189268126,0.992979035301417,0.0009602043882962449,0.0006868888403110564
10000,ZK-SNARK (Groth16),0.8204363847209599,0.011519494506707745,0.008240549948664522,0.979126148582622,0.002652915956267835,0.0018977817502759656
10000,ZK-STARK,67.25511933129219,1.3544228057944738,0.9688957077292412,0.7685270783924742,0.004801813887750724,0.003435010725788326
10000,Bulletproofs,151.36038644128615,0.9659571470016926,0.6910041159793813,0.5758142357691574,0.0020832801201656494,0.0014902888210318935
10000,ZKAuth (Proposed),1.2016530892286679,0.02098431882942543,0.015011277391719733,0.9928371717351767,0.0003805860084417534,0.000272254829454618
25000,ZK-SNARK (Groth16),0.8207994253969094,0.011514065537323015,0.00823666629792285,0.9824254106189642,0.0027522561294765283,0.0019688454292211264
25000,ZK-STARK,75.59221258996864,0.9236975297900757,0.6607734069633744,0.7408903610248256,0.0034627174478671263,0.002477078839756864
25000,Bulletproofs,162.595519646775,2.424807265829251,1.7346026232588,0.5700725259163792,0.00275207725173252,0.0019687174677916254
25000,ZKAuth (Proposed),1.2163998733188475,0.022967613083362783,0.01643004063284576,0.9922535114103326,0.0007736760482184957,0.0005534545040771938
50000,ZK-SNARK (Groth16),0.8217598175008843,0.015955302499556675,0.011413735829908874,0.9814145652002793,0.0025265789302137565,0.0018074056862083846
50000,ZK-STARK,82.48093660996864,1.6890917901268507,1.2083034768855951,0.7173329663907968,0.006998061572696586,0.0050061116744364335
50000,Bulletproofs,171.41216297769645,3.1003554284904813,2.217860666734305,0.5721282744583893,0.004143116154948187,0.0029638067536808116
50000,ZKAuth (Proposed),1.206317471843159,0.019205866714465926,0.01373904938934532,0.9926705765491256,0.0009791086416712279,0.0007004121285150697
100000,ZK-SNARK (Groth16),0.8215277152234275,0.010945822713282117,0.00783016986947692,0.9808186056768028,0.002968668082011259,0.0021236572140014417
100000,ZK-STARK,88.39846210381756,0.9736367362451305,0.6964977631796927,0.6962828528653962,0.004369891287531377,0.0031260319108766103
100000,Bulletproofs,180.19460805372825,3.248999175413577,2.324193997625097,0.5724485809088895,0.004610036952767289,0.0032978217709420388
100000,ZKAuth (Proposed),1.219062021245048,0.018340271136854814,0.013119839615123544,0.9928916731135538,0.0012336951291782906,0.0008825323305200614
