scheme,ppas_grand_mean,ppas_grand_std,verify_grand_mean,verify_grand_std,gen_grand_mean,gen_grand_std,proof_grand_mean,corr_grand_mean,corr_grand_std,ppas_ci95,verify_ci95
Bulletproofs,0.5875323392418688,0.0004737696337867779,118.15631279224476,0.1835464390066191,1121.0076246816232,2.940787429365387,2552.9695,0.06277104380511829,0.00033458351614331066,0.00033891437936856434,0.13130121270970838
ZK-SNARK (Groth16),0.980687292051698,9.346576479125057e-05,0.8199774649009225,0.001665556967939296,2340.020173299557,2.7934688159398524,192.0,0.04095771002248793,0.0002572190727153989,6.686138031525089e-05,0.0011914676793029363
ZK-STARK,0.8433242020933147,0.0003943194582509617,44.71970935481912,0.11977194178641536,8754.805860212386,10.99997670710215,87176.5293,0.020967003318763503,0.0001344477221123732,0.00028207914761843665,0.08567968569842865
ZKAuth (Proposed),0.9924062317111773,2.0776067146450654e-05,1.2098760453651427,0.0021946118934396525,1839.4533110512045,4.601108258122625,256.0,0.008032619358781459,6.049404537940428e-05,1.4862303112123715e-05,0.0015699307738974118
